ID: 4    Token: ENDL             Lexema: endl                  Línea: 32  Columna: 23
ID: 33   Token: SHOW             Lexema: show                  Línea: 34  Columna: 17
ID: 57   Token: STRING_LIT       Lexema: "b (float):"          Línea: 34  Columna: 22
ID: 4    Token: ENDL             Lexema: endl                  Línea: 34  Columna: 35
ID: 34   Token: GET              Lexema: get                   Línea: 35  Columna: 17
ID: 53   Token: IDENT            Lexema: b                     Línea: 35  Columna: 21
ID: 4    Token: ENDL             Lexema: endl                  Línea: 35  Columna: 23
ID: 23   Token: DECIDE           Lexema: decide                Línea: 37  Columna: 17
ID: 24   Token: OF               Lexema: of                    Línea: 37  Columna: 24
ID: 53   Token: IDENT            Lexema: op                    Línea: 38  Columna: 21
ID: 18   Token: EQ               Lexema: ==                    Línea: 38  Columna: 24
ID: 54   Token: INT_LIT          Lexema: 1                     Línea: 38  Columna: 27
ID: 52   Token: ARROW            Lexema: ->                    Línea: 38  Columna: 29
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 38  Columna: 32
ID: 53   Token: IDENT            Lexema: res                   Línea: 39  Columna: 25
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 39  Columna: 29
ID: 53   Token: IDENT            Lexema: a                     Línea: 39  Columna: 31
ID: 5    Token: PLUS             Lexema: +                     Línea: 39  Columna: 33
ID: 53   Token: IDENT            Lexema: b                     Línea: 39  Columna: 35
ID: 4    Token: ENDL             Lexema: endl                  Línea: 39  Columna: 37
ID: 33   Token: SHOW             Lexema: show                  Línea: 40  Columna: 25
ID: 57   Token: STRING_LIT       Lexema: "a + b ="             Línea: 40  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 40  Columna: 40
ID: 33   Token: SHOW             Lexema: show                  Línea: 41  Columna: 25
ID: 53   Token: IDENT            Lexema: res                   Línea: 41  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 41  Columna: 34
ID: 51   Token: RBRACE           Lexema: !                     Línea: 42  Columna: 21
ID: 53   Token: IDENT            Lexema: op                    Línea: 43  Columna: 21
ID: 18   Token: EQ               Lexema: ==                    Línea: 43  Columna: 24
ID: 54   Token: INT_LIT          Lexema: 2                     Línea: 43  Columna: 27
ID: 52   Token: ARROW            Lexema: ->                    Línea: 43  Columna: 29
ID: 50   Token: LBRACE           Lexema: ¡                     Línea: 43  Columna: 32
ID: 53   Token: IDENT            Lexema: res                   Línea: 44  Columna: 25
ID: 47   Token: ASSIGN           Lexema: =                     Línea: 44  Columna: 29
ID: 53   Token: IDENT            Lexema: a                     Línea: 44  Columna: 31
ID: 6    Token: MINUS            Lexema: -                     Línea: 44  Columna: 33
ID: 53   Token: IDENT            Lexema: b                     Línea: 44  Columna: 35
ID: 4    Token: ENDL             Lexema: endl                  Línea: 44  Columna: 37
ID: 33   Token: SHOW             Lexema: show                  Línea: 45  Columna: 25
ID: 57   Token: STRING_LIT       Lexema: "a - b ="             Línea: 45  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 45  Columna: 40
ID: 33   Token: SHOW             Lexema: show                  Línea: 46  Columna: 25
ID: 53   Token: IDENT            Lexema: res                   Línea: 46  Columna: 30
ID: 4    Token: ENDL             Lexema: endl                  Línea: 46  Columna: 34
ID: 51   Token: RBRACE           Lexema: !                     Línea: 47  Columna: 21
ID: 53   Token: IDENT            Lexema: op                    Línea: 48  Columna: 21
